Date,Active_Cases,Close
25-02-2021,151708,15097.35
26-02-2021,155986,14529.15
01-03-2021,167535,14761.55
02-03-2021,168358,14919.1
03-03-2021,159215,15245.6
04-03-2021,173413,15080.75
05-03-2021,176319,14938.1
08-03-2021,188747,14956.2
09-03-2021,173548,15098.4
10-03-2021,184598,15174.8
12-03-2021,189226,15030.95
15-03-2021,219262,14929.5
16-03-2021,223432,14910.45
17-03-2021,234406,14721.3
18-03-2021,252364,14557.85
19-03-2021,271282,14744
22-03-2021,334646,14736.4
23-03-2021,345377,14814.75
24-03-2021,368457,14549.4
25-03-2021,395192,14324.9
26-03-2021,421066,14507.3
30-03-2021,540720,14845.1
31-03-2021,552566,14690.7
01-04-2021,588531,14867.35
05-04-2021,741830,14637.8
06-04-2021,788223,14683.5
07-04-2021,843473,14819.05
08-04-2021,910319,14873.8
09-04-2021,979608,14834.85
12-04-2021,1201009,14310.8
13-04-2021,1264698,14504.8
15-04-2021,1471877,14581.45
16-04-2021,1569743,14617.85
19-04-2021,1929329,14359.45
20-04-2021,2031977,14296.4
22-04-2021,2291428,14406.15
23-04-2021,2428616,14341.35
26-04-2021,2813658,14485
27-04-2021,2882204,14653.05
28-04-2021,2978709,14864.55
29-04-2021,3084814,14894.9
30-04-2021,3170228,14631.1
03-05-2021,3413642,14634.15
04-05-2021,3447133,14496.5
05-05-2021,3487229,14617.85
06-05-2021,3566398,14724.8
07-05-2021,3645164,14823.15
10-05-2021,3745237,14942.35
11-05-2021,3715221,14850.75
12-05-2021,3704099,14696.5
14-05-2021,3704893,14677.8
17-05-2021,3516997,14923.15
18-05-2021,3353765,15108.1
19-05-2021,3226719,15030.15
20-05-2021,3129878,14906.05
21-05-2021,3027925,15175.3
24-05-2021,2720716,15197.7
25-05-2021,2586782,15208.45
26-05-2021,2495591,15301.45
27-05-2021,2419907,15337.85
28-05-2021,2343152,15435.65
31-05-2021,2026092,15582.8
01-06-2021,1895520,15574.85
02-06-2021,1793645,15576.2
03-06-2021,1713413,15690.35
04-06-2021,1635993,15670.25
07-06-2021,1401609,15751.65
08-06-2021,1303702,15740.1
09-06-2021,1231415,15635.35
10-06-2021,1167952,15737.75
11-06-2021,1121671,15799.35
14-06-2021,973158,15811.85
15-06-2021,913378,15869.25
16-06-2021,865432,15767.55
17-06-2021,826740,15691.4
18-06-2021,798656,15683.35
21-06-2021,702887,15746.5
22-06-2021,662521,15772.75
23-06-2021,643194,15686.95
24-06-2021,627057,15790.45
25-06-2021,612868,15860.35
28-06-2021,572994,15814.7
29-06-2021,552659,15748.45
30-06-2021,537064,15721.5
01-07-2021,523257,15680
02-07-2021,509637,15722.2
05-07-2021,482071,15834.35
